NumerRSPO;Typ;Nazwa;Ulica;numerBudynku;numerLokalu;kodPocztowy;miejscowosc;kodterytorialnyUlica;kodterytorialnyMiejscowosc;kodterytorialnyGmina;Telefon;Faks;E-mail;stronaWww;wojewodztwo;powiat;gmina;REGON;NIP;publicznoscStatus;Kategoriauczniów;Specyfikaplacówki;Dyrektor;organProwadzący;TypOrganuProwadzącego;WojewództwoOrganuProwadzącego;PowiatOrganuProwadzącego;GminaOrganuProwadzącego;DataZałożenia;DataLikwidacji
81146;SM1;ZESPÓŁ SZKÓŁ NR 5 W RYPINIE IM. KS. JANA TWARDOWSKIEGO - SZKOŁA MUZYCZNA I STOPNIA;ul. Młyńska;12;;87-500;Rypin;13132;0986136;0412011;542803642;;;;KUJAWSKO-POMORSKIE;rypiński;Rypin - gmina miejska;340196497;8921324144;publiczna;Bez kategorii;brak specyfiki;;POWIAT RYPIŃSKI;Powiat ziemski;KUJAWSKO-POMORSKIE;rypiński;Rypin;2006-09-01;
83513;SM1;SZKOŁA MUZYCZNA I STOPNIA NR 3;ul. Kłodnicka;36;;54-218;Wrocław-Fabryczna;08619;0986290;0264029;713519932;713519932;;;DOLNOŚLĄSKIE;Wrocław;Wrocław-Fabryczna - delegatura;020351238;8942878882;publiczna;Bez kategorii;brak specyfiki;;WROCŁAW MIASTO NA PRAWACH POWIATU;Miasto na prawach powiatu;DOLNOŚLĄSKIE;Wrocław;Wrocław-Stare Miasto;2006-09-01;
85573;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W BYDGOSZCZY;ul. Andrzeja Szwalbego;1;;85-080;Bydgoszcz;37527;0928363;0461011;523229718;;;;KUJAWSKO-POMORSKIE;Bydgoszcz;Bydgoszcz - gmina miejska;341351735;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1947-09-01;
85578;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. FRYDERYKA CHOPINA W BIAŁEJ PODLASKIEJ;ul. Warszawska;12b;;21-500;Biała Podlaska;23682;0922018;0661011;833435436;;;;LUBELSKIE;Biała Podlaska;Biała Podlaska - gmina miejska;000967430;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1949-09-01;
86327;SM1;PRYWATNA SZKOŁA MUZYCZNA I ST. NR 1 W OTWOCKU;ul. Karczewska;14/16;;05-400;Otwock;08025;0921237;1417021;22-780-40-26;;;;MAZOWIECKIE;otwocki;Otwock - gmina miejska;146453487;;niepubliczna bez uprawnień szkoły publicznej;Bez kategorii;brak specyfiki;Agnieszka Michalczyk;DANE DO UZUPEŁNIENIA;Spółki Handlowe;MAZOWIECKIE;Warszawa;Śródmieście;1998-09-18;
86375;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W STRZELCACH OPOLSKICH;ul. Jana Matejki;1;;47-100;Strzelce Opolskie;12489;0965915;1611054;774613658;;sekretariat@psm-strzelceop.pl;www.psm-strzelceop.pl;OPOLSKIE;strzelecki;Strzelce Opolskie - miasto;000770904;;publiczna;Bez kategorii;brak specyfiki;Tadeusz Widera;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1975-07-10;
86861;SM1;SZKOŁA MUZYCZNA I STOPNIA W RADOMIU;ul. 25 Czerwca;70;;26-600;Radom;03407;0972750;1463011;483626665;483627683;sekretariat@muzycznaradom.pl;www.muzycznaradom.pl;MAZOWIECKIE;Radom;Radom - gmina miejska;140102462;9482111440;publiczna;Bez kategorii;brak specyfiki;;GMINA MIASTA RADOMIA;Miasto na prawach powiatu;MAZOWIECKIE;Radom;Radom;1945-06-16;
87619;SM1;SZKOŁA MUZYCZNA I STOPANIA W SOBOLOWIE;;23;;32-742;Sobolów;;0823492;1201052;146859322;;szkola.muzyczna_sobolow@onet.pl;;MAŁOPOLSKIE;bocheński;Łapanów - gmina wiejska;121283694;8681938526;publiczna;Bez kategorii;brak specyfiki;Stanisław Rybka;GMINA ŁAPANÓW;Gmina;MAŁOPOLSKIE;bocheński;Łapanów;2010-09-01;
91691;SM1;SZKOŁA MUZYCZNA I STOPNIA IM. KS. PROF. JÓZEFA TISCHNERA W DOMOSŁAWICACH;;24;;32-860;Domosławice;;0816859;1202035;146635420;146635420;zsdomoslawice@czchow.pl;;MAŁOPOLSKIE;brzeski;Czchów - obszar wiejski;122578049;8691981104;publiczna;Bez kategorii;brak specyfiki;;GMINA CZCHÓW;Gmina;MAŁOPOLSKIE;brzeski;Czchów;2012-04-27;
91973;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W GRUDZIĄDZU;ul. Armii Krajowej;10;;86-300;Grudziądz;00432;0983333;0462011;566421888;;;;KUJAWSKO-POMORSKIE;Grudziądz;Grudziądz - gmina miejska;341359895;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1952-09-01;
91978;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. IGNACEGO JANA PADEREWSKIEGO W PIOTRKOWIE TRYBUNALSKIM;inne Pasaż Karola Rudowskiego;4;;97-300;Piotrków Trybunalski;38119;0967430;1062011;446471905;;;;ŁÓDZKIE;Piotrków Trybunalski;Piotrków Trybunalski - gmina miejska;101509352;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1966-08-09;
91980;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W TOMASZOWIE MAZOWIECKIM;ul. Zapiecek;8;;97-200;Tomaszów Mazowiecki;25618;0968300;1016011;447244210;;;;ŁÓDZKIE;tomaszowski;Tomaszów Mazowiecki - gmina miejska;101509369;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1965-09-01;
91982;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W ZDUŃSKIEJ WOLI;al. Tadeusza Kościuszki;3;;98-220;Zduńska Wola;09576;0976675;1019011;438233477;;sekretariat@psmzw.pl;www.psmzw.pl;ŁÓDZKIE;zduńskowolski;Zduńska Wola - gmina miejska;100019723;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1973-09-01;
91986;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W CZĘSTOCHOWIE;ul. Jasnogórska;17;;42-200;Częstochowa;07343;0930868;2464011;343245649;;;;ŚLĄSKIE;Częstochowa;Częstochowa - gmina miejska;152119766;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1946-09-01;
91989;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W ZABRZU;ul. Władysława Reymonta;7a;;41-800;Zabrze;18648;0945380;2478011;322714679;;;;ŚLĄSKIE;Zabrze;Zabrze - gmina miejska;240066450;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1952-01-01;
91991;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W NYSIE;rynek Solny;2;;48-300;Nysa;20545;0965789;1607054;774332014;;;;OPOLSKIE;nyski;Nysa - miasto;161497151;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1961-09-01;
91993;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W SUWAŁKACH;ul. Teofila Noniewicza;83;;16-400;Suwałki;14307;0977456;2063011;875664735;;;;PODLASKIE;Suwałki;Suwałki - gmina miejska;200008857;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1973-09-01;
92006;SM1;SZKOŁA MUZYCZNA I ST. W KOSZALINIE;ul. Juliana Fałata;32;;75-434;Koszalin;04889;0949448;3261011;943478020;;;;ZACHODNIOPOMORSKIE;Koszalin;Koszalin - gmina miejska;331415992;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1958-09-01;
92008;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W PABIANICACH;ul. Grobelna;6;;95-200;Pabianice;06108;0959079;1008021;422155539;;;;ŁÓDZKIE;pabianicki;Pabianice - gmina miejska;100019539;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1969-09-01;
92688;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W RYBNIKU;ul. Powstańców Śląskich;27;;44-200;Rybnik;17366;0942765;2473011;327558894;;sekretariat@psmrybnik.strefa.pl;www.psmrybnik.strefa.pl;ŚLĄSKIE;Rybnik;Rybnik - gmina miejska;240065522;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1952-03-15;
92690;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W KATOWICACH;ul. Teatralna;16;;40-003;Katowice;22723;0937474;2469011;322597861;;;;ŚLĄSKIE;Katowice;Katowice - gmina miejska;240069201;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1951-04-01;
92783;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W JASTRZĘBIU-ZDROJU;ul. Tadeusza Kościuszki;13a;;44-330;Jastrzębie-Zdrój;09582;0940163;2467011;324763705;;;;ŚLĄSKIE;Jastrzębie-Zdrój;Jastrzębie-Zdrój - gmina miejska;240066036;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1990-09-01;
92786;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W CIESZYNIE;ul. Zamkowa;3;;43-400;Cieszyn;25547;0924158;2403011;338512877;;;;ŚLĄSKIE;cieszyński;Cieszyn - gmina miejska;240075727;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
92901;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W EŁKU;ul. Armii Krajowej;21;;19-300;Ełk;00432;0977670;2805011;876103623;;;;WARMIŃSKO-MAZURSKIE;ełcki;Ełk - gmina miejska;000280502;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1946-11-22;
93013;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W BIAŁYMSTOKU;ul. Podleśna;2;;15-227;Białystok;16799;0922410;2061011;857416507;;;;PODLASKIE;Białystok;Białystok - gmina miejska;052206899;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1947-09-01;
93113;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W ZGORZELCU;ul. Mariana Langiewicza;29;;59-900;Zgorzelec;10636;0936546;0225021;756466886;;;;DOLNOŚLĄSKIE;zgorzelecki;Zgorzelec - gmina miejska;020052665;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1965-09-01;
93151;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W ZIELONEJ GÓRZE;ul. Bolesława Chrobrego;26;;65-052;Zielona Góra;01742;0988313;0862011;684552233;;;;LUBUSKIE;Zielona Góra;Zielona Góra - gmina miejska;081094966;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
93189;SM1;SZKOŁA MUZYCZNA I ST. W ŁODZI;ul. Rojna;20;;91-134;Łódź-Bałuty;18791;0957666;1061029;426110169;;;;ŁÓDZKIE;Łódź;Łódź-Bałuty - delegatura;472897993;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1991-07-09;
103542;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. JANA SEBASTIANA BACHA W GRAJEWIE;;5;;19-200;Grajewo;;0957376;2004011;862722582;862722119;psm@hot.pl;psmgrajewo.com;PODLASKIE;grajewski;Grajewo - gmina miejska;000929010;;publiczna;Bez kategorii;brak specyfiki;Agata Świderska;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1974-09-01;
103543;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. LUDOMIRA RÓŻYCKIEGO W ŚWIDNICY;al. Niepodległości;11;;58-100;Świdnica;14199;0984657;0219011;748522461;748522461;sekretariat@szkola-muzyczna.swidnica.pl;psm.swidnica.pl;DOLNOŚLĄSKIE;świdnicki;Świdnica - gmina miejska;000595016;;publiczna;Bez kategorii;brak specyfiki;Beata Bartko-Kozieł;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1945-09-01;
103544;SM1;SZKOŁA MUZYCZNA I ST. IM. GRAŻYNY BACEWICZ WE WROCŁAWIU;pl. Powstańców Śląskich;12;;53-314;Wrocław-Krzyki;17365;0986544;0264039;713677820;713673040;sm-1-st@wroclaw.home.pl;sm1st.wroclaw.pl;DOLNOŚLĄSKIE;Wrocław;Wrocław-Krzyki - delegatura;000278540;;publiczna;Bez kategorii;brak specyfiki;Irena Maciukiewicz-Schmit;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1946-09-01;
103555;SM1;SZKOŁA MUZYCZNA I ST. W WAŁBRZYCHU;ul. Piętnastolecia;24;;58-309;Wałbrzych;16197;0983681;0265011;748415730;;;;DOLNOŚLĄSKIE;Wałbrzych;Wałbrzych - gmina miejska;891421266;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
103574;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W MŁAWIE;ul. Henryka Sienkiewicza;24;;06-500;Mława;19834;0930696;1413011;236543005;;;;MAZOWIECKIE;mławski;Mława - gmina miejska;146461305;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1975-09-01;
103576;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W SIEDLCACH;ul. Podlaska;14;;08-101;Siedlce;16793;0975173;1464011;256436830;;;;MAZOWIECKIE;Siedlce;Siedlce - gmina miejska;712550726;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1960-09-01;
103579;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W PŁOCKU;ul. Kolegialna;23;;09-402;Płock;08818;0968687;1462011;242622470;;;;MAZOWIECKIE;Płock;Płock - gmina miejska;146464657;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
103580;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W SOCHACZEWIE;ul. Bartosza Głowackiego;2;;96-500;Sochaczew;05627;0977120;1428011;468622962;;;;MAZOWIECKIE;sochaczewski;Sochaczew - gmina miejska;146433869;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1974-09-01;
103586;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W WARSZAWIE;ul. Kawęczyńska;23;25;03-775;Praga-Północ;08227;0919298;1465088;226190464;;;;MAZOWIECKIE;Warszawa;Praga-Północ - dzielnica;146445720;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;2007-09-01;
103589;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. FRYDERYKA CHOPINA W NOWYM SĄCZU;ul. Nawojowska;213;;33-300;Nowy Sącz;14055;0959435;1262011;184439333;;;;MAŁOPOLSKIE;Nowy Sącz;Nowy Sącz - gmina miejska;120027322;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1952-09-01;
103590;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W NOWYM TARGU;ul. Parkowa;12;;34-400;Nowy Targ;15710;0961538;1211011;182649861;;;;MAŁOPOLSKIE;nowotarski;Nowy Targ - gmina miejska;120017460;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
103592;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. MIECZYSŁAWA KARŁOWICZA W ZAKOPANEM;ul. Henryka Sienkiewicza;12;;34-500;Zakopane;19834;0963773;1217011;182012619;;;;MAŁOPOLSKIE;tatrzański;Zakopane - gmina miejska;120016755;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
103599;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W MIELCU;ul. Tadeusza Kościuszki;10;;39-300;Mielec;09582;0974618;1811011;175862976;;;;PODKARPACKIE;mielecki;Mielec - gmina miejska;180028792;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1970-09-01;
103615;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W KRASNYMSTAWIE;ul. Okrzei;10;;22-300;Krasnystaw;14909;0930070;0606011;825764440;;;;LUBELSKIE;krasnostawski;Krasnystaw - gmina miejska;060050379;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1987-08-01;
103642;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W KROŚNIE;ul. Ignacego Paderewskiego;7;;38-400;Krosno;15529;0952410;1861011;134320072;;sekretariat@zsmkrosno.pl;zsmkrosno.pl;PODKARPACKIE;Krosno;Krosno - gmina miejska;180032411;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1960-09-01;
103662;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W PRZEMYŚLU;ul. Juliusza Słowackiego;91;;37-700;Przemyśl;20291;0971672;1862011;166783766;;;;PODKARPACKIE;Przemyśl;Przemyśl - gmina miejska;180037041;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1954-09-01;
103682;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W SANOKU;ul. Podgórze;25;;38-500;Sanok;16745;0953510;1817011;134645315;134645315;muzyksanok@onet.pl;www.psmsanok.pl;PODKARPACKIE;sanocki;Sanok - gmina miejska;180028958;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1972-09-01;
103694;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W STALOWEJ WOLI;ul. Gabriela Narutowicza;11;;37-450;Stalowa Wola;14018;0981133;1818011;158421131;;;;PODKARPACKIE;stalowowolski;Stalowa Wola - gmina miejska;180028071;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1966-09-01;
103729;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. GRAŻYNY BACEWICZ W GDAŃSKU;ul. Romana Dmowskiego;16b;;80-264;Gdańsk;03868;0933016;2261011;583419213;;;;POMORSKIE;Gdańsk;Gdańsk - gmina miejska;192925163;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
103772;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W ŻYRARDOWIE;ul. Gabriela Narutowicza;39b;;96-300;Żyrardów;14018;0977210;1438011;468553685;;;;MAZOWIECKIE;żyrardowski;Żyrardów - gmina miejska;146465540;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
103777;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W OSTROŁĘCE;ul. Romualda Traugutta;7;;07-400;Ostrołęka;22965;0966079;1461011;297602840;;;;MAZOWIECKIE;Ostrołęka;Ostrołęka - gmina miejska;140099553;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1977-09-01;
103780;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W CHORZOWIE;ul. gen. Henryka Dąbrowskiego;43;;41-500;Chorzów;03673;0938887;2463011;322410329;;;;ŚLĄSKIE;Chorzów;Chorzów - gmina miejska;240067840;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1945-05-13;
104065;SM1;SZKOŁA MUZYCZNA I ST. W SZCZECINKU;ul. 3 Maja;2;;78-400;Szczecinek;11937;0950262;3215011;943743002;943743002;szkolamuzycznaszczecinek@gmail.com;www.muzycznaszczecinek.pl;ZACHODNIOPOMORSKIE;szczecinecki;Szczecinek - gmina miejska;321313153;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1961-09-01;
104205;SM1;SZKOŁA MUZYCZNA I ST. W GŁOGOWIE;ul. Jedności Robotniczej;14;;67-200;Głogów;07442;0954082;0203011;768332746;;;;DOLNOŚLĄSKIE;głogowski;Głogów - gmina miejska;022030768;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1971-09-01;
104276;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W KRAKOWIE;os. Centrum E;2;;31-934;Kraków-Nowa Huta;02623;0950718;1261039;126448835;;;;MAŁOPOLSKIE;Kraków;Kraków-Nowa Huta - delegatura;122742419;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1958-09-01;
104281;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. IM. KAROLA KURPIŃSKIEGO W POZNANIU;ul. Głogowska;90;;60-262;Poznań-Grunwald;05614;0969416;3064029;618666129;;;;WIELKOPOLSKIE;Poznań;Poznań-Grunwald - delegatura;634345188;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1946-04-01;
104508;SM1;PAŃSTWOWA SZKOŁA MUZYCZNA I ST. W KIELCACH;ul. Wojewódzka;12;;25-536;Kielce;24601;0945930;2661011;413426017;;;;ŚWIĘTOKRZYSKIE;Kielce;Kielce - gmina miejska;260016130;;publiczna;Bez kategorii;brak specyfiki;;MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO;Minister ds. kultury i dziedzictwa narodowego;MAZOWIECKIE;Warszawa;Śródmieście;1950-01-01;
