urzad;teryt;razem;razemKobiety;wiek;PSL;PiS;PO;SLD;PP;NP;teryt.bis;xteryt;name;areaH;areaKm;popThs;popKm;rankA;rankP;type;bb;center
Wójt Gminy Tarnowo Podgórne;302117;3;1;46.33;0;1;0;0;0;2;302117;2;Tarnowo Podgórne;10175;102;26178;257;1360;225;gw;52.392735,16.553719 52.505762,16.804836;52.4492485,16.6792775
Burmistrz Miasta i Gminy Jutrosin;302202;2;1;44.50;0;0;0;0;0;2;302202;3;Jutrosin;11496;115;7161;62;1128;1257;gmw;51.565318,17.078318 51.705189,17.260394;51.6352535,17.169356
Burmistrz Miasta Luboń;302101;3;2;45.33;0;0;0;0;0;3;302101;1;Luboń;1351;14;31653;2343;2292;176;gm;52.314428,16.836439 52.359023,16.909369;52.3367255,16.872904
Wójt Gminy Komorniki;302107;3;0;44.33;0;1;0;0;0;2;302107;2;Komorniki;6641;66;28149;424;1890;201;gw;52.275206,16.731303 52.378090,16.909421;52.326648,16.820362
Burmistrz Gminy Mosina;302110;3;0;51.67;0;0;0;0;0;3;302110;3;Mosina;17143;172;32350;189;504;168;gmw;52.167356,16.732171 52.333879,17.019608;52.2506175,16.8758895
Burmistrz Miasta i Gminy Wronki;302408;3;0;52.67;0;0;0;0;0;3;302408;3;Wronki;30172;302;19108;63;94;367;gmw;52.639900,16.013770 52.794057,16.455369;52.7169785,16.2345695
Wójt Gminy Obrzycko;302404;2;1;56.50;0;0;0;0;0;2;302404;2;Obrzycko;11084;111;4515;41;1207;1853;gw;52.629347,16.434884 52.759570,16.650729;52.6944585,16.5428065
Wójt Gminy Duszniki;302402;3;1;54.33;0;0;0;0;0;3;302402;2;Duszniki;15630;155;8933;57;624;984;gw;52.373753,16.297812 52.518719,16.600481;52.446236,16.4491465
Burmistrz Miasta i Gminy Buk;302103;3;1;41.00;0;0;0;0;0;3;302103;3;Buk;9058;91;12495;138;1529;663;gmw;52.269888,16.452903 52.413675,16.629099;52.3417815,16.541001
Burmistrz Miasta i Gminy Swarzędz;302116;4;2;57.25;0;1;1;0;0;2;302116;3;Swarzędz;10178;102;49727;489;1359;92;gmw;52.357870,17.005787 52.507317,17.208995;52.4325935,17.107391
Burmistrz Miejskiej Górki;302203;2;0;44.00;0;0;0;0;0;2;302203;3;Miejska Górka;10348;103;9344;90;1332;926;gmw;51.620396,16.863063 51.719714,17.103816;51.670055,16.9834395
Burmistrz Miasta Obrzycko;302401;1;0;37.00;0;0;0;0;0;1;302401;1;Obrzycko;374;4;2378;636;2338;2256;gm;52.693227,16.508893 52.710772,16.552028;52.7019995,16.5304605
Burmistrz Miasta i Gminy Ostroróg;302405;3;1;54.00;0;0;0;0;0;3;302405;3;Ostroróg;8480;85;5018;59;1623;1722;gmw;52.581171,16.336837 52.680145,16.525527;52.630658,16.431182
Burmistrz Miasta i Gminy Pobiedziska;302112;2;1;57.50;0;0;0;0;0;2;302112;3;Pobiedziska;18958;189;19411;102;394;360;gmw;52.409961,17.115060 52.553127,17.397730;52.481544,17.256395
Burmistrz Gminy Kostrzyn;302108;1;0;38.00;0;0;0;0;0;1;302108;3;Kostrzyn;15481;155;18095;117;632;392;gmw;52.311748,17.117626 52.449488,17.375180;52.380618,17.246403
Burmistrz Gminy Rawicz;302205;2;0;49.00;0;0;0;0;0;2;302205;3;Rawicz;13425;134;30287;226;851;186;gmw;51.543576,16.766065 51.678902,17.011583;51.611239,16.888824
Burmistrz Miasta i Gminy Pleszew;302006;5;0;40.80;0;1;1;0;0;3;302006;3;Pleszew;18033;180;30026;167;446;190;gmw;51.788922,17.667782 51.965901,17.945393;51.8774115,17.8065875
Burmistrz Miasta Puszczykowa;302102;2;1;56.00;0;0;0;0;0;2;302102;1;Puszczykowo;1639;16;9693;591;2264;895;gm;52.250215,16.812990 52.305012,16.890596;52.2776135,16.851793
Burmistrz Miasta i Gminy Kórnik;302109;4;1;45.25;1;1;0;0;0;2;302109;3;Kórnik;18612;186;26901;145;414;215;gmw;52.152025,16.925038 52.342072,17.197701;52.2470485,17.0613695
Wójt Gminy Rokietnica;302113;2;0;41.50;0;0;0;0;0;2;302113;2;Rokietnica;7930;79;16905;213;1713;435;gw;52.459743,16.639956 52.574497,16.827463;52.51712,16.7337095
Wójt Gminy Suchy Las;302115;2;0;53.00;0;0;0;0;0;2;302115;2;Suchy Las;11601;117;17100;147;1116;431;gw;52.465235,16.780104 52.599779,16.970470;52.532507,16.875287
Burmistrz Bojanowa;302201;3;1;46.33;1;0;0;0;0;2;302201;3;Bojanowo;12350;124;8785;71;1007;999;gmw;51.640987,16.638585 51.746425,16.887044;51.693706,16.7628145
Wójt Gminy Kaźmierz;302403;1;0;63.00;0;0;0;0;0;1;302403;2;Kaźmierz;12790;128;8475;66;946;1041;gw;52.436508,16.445186 52.562382,16.652501;52.499445,16.5488435
Burmistrz Gminy Zagórów;302308;7;1;47.29;1;0;0;0;0;6;302308;3;Zagórów;15971;160;9056;57;600;967;gmw;52.073389,17.766597 52.196752,18.032889;52.1350705,17.899743
Wójt Gminy Zaniemyśl;302505;2;1;53.00;0;0;0;0;0;2;302505;2;Zaniemyśl;10655;107;6886;65;1282;1302;gw;52.099119,17.091183 52.226479,17.279671;52.162799,17.185427
Wójt Gminy Ostrowite;302304;4;1;42.75;1;1;0;0;0;2;302304;2;Ostrowite;10355;104;5144;50;1331;1696;gw;52.309436,17.935806 52.446974,18.089771;52.378205,18.0127885
Burmistrz Miasta i Gminy Dolsk;302602;4;1;53.75;1;1;0;0;0;2;302602;3;Dolsk;12448;124;5910;47;990;1509;gmw;51.925012,16.976610 52.050797,17.188619;51.9879045,17.0826145
Burmistrz Śremu;302604;6;1;46.33;0;1;0;0;0;5;302604;3;Śrem;20587;206;41859;203;311;120;gmw;51.991339,16.868741 52.183803,17.143035;52.087571,17.005888
Wójt Gminy Turek;302708;2;0;50.50;0;1;0;0;0;1;302708;2;Turek;10925;109;9712;89;1239;894;gw;51.944176,18.390743 52.072704,18.618018;52.00844,18.5043805
Burmistrz Miasta i Gminy Szamotuły;302407;4;1;53.25;0;1;0;0;0;3;302407;3;Szamotuły;17552;176;29931;171;480;192;gmw;52.518012,16.363259 52.667219,16.740736;52.5926155,16.5519975
Wójt Gminy w Nowym Mieście nad Wartą;302503;2;0;64.00;0;0;0;1;0;1;302503;2;Nowe Miasto nad Wartą;12007;121;9098;76;1056;961;gw;52.010623,17.271947 52.124493,17.522832;52.067558,17.3973895
Wójt Gminy Dominowo;302501;2;0;48.00;1;0;0;0;0;1;302501;2;Dominowo;7936;79;2984;38;1711;2188;gw;52.233390,17.276716 52.349722,17.488139;52.291556,17.3824275
Burmistrz Miasta Środa Wielkopolska;302504;3;0;41.67;0;1;0;0;0;2;302504;3;Środa Wielkopolska;20716;207;32160;155;305;170;gmw;52.162120,17.111418 52.318416,17.473171;52.240268,17.2922945
Wójt Gminy Krzykosy;302502;1;0;58.00;0;0;0;0;0;1;302502;2;Krzykosy;11072;110;7027;63;1210;1274;gw;52.087591,17.229920 52.176782,17.470446;52.1321865,17.350183
Wójt Gminy Orchowo;302303;3;1;56.33;0;0;0;0;0;3;302303;2;Orchowo;9803;98;3840;39;1426;2026;gw;52.461696,17.906065 52.555034,18.133490;52.508365,18.0197775
Burmistrz Miasta Słupcy;302301;2;0;49.50;1;1;0;0;0;0;302301;1;Słupca;1030;10;13851;1345;2314;572;gm;52.272167,17.833616 52.309388,17.903677;52.2907775,17.8686465
Wójt Gminy Brudzew;302702;3;0;49.00;1;1;0;0;0;1;302702;2;Brudzew;11263;112;5959;53;1168;1501;gw;52.035300,18.497634 52.136581,18.722482;52.0859405,18.610058
Burmistrz Książa Wlkp.;302603;4;0;51.25;0;0;0;0;0;4;302603;3;Książ Wielkopolski;14792;148;8564;58;696;1030;gmw;51.972338,17.083838 52.109675,17.326815;52.0410065,17.2053265
Burmistrz Miasta Turku;302701;4;0;47.75;0;1;0;0;0;3;302701;1;Turek;1617;16;27311;1689;2267;212;gm;51.993171,18.464648 52.039355,18.558396;52.016263,18.511522
Wójt Gminy Przykona;302706;1;0;63.00;0;0;0;0;0;1;302706;2;Przykona;11092;111;4490;40;1204;1858;gw;51.941157,18.542017 52.049986,18.741744;51.9955715,18.6418805
Wójt Gminy Malanów;302705;3;0;49.33;0;1;0;0;0;2;302705;2;Malanów;10723;107;6570;61;1273;1365;gw;51.887555,18.295580 52.024799,18.481889;51.956177,18.3887345
Wójt Gminy Lądek;302302;2;1;52.00;0;0;0;0;0;2;302302;2;Lądek;9858;99;5772;59;1416;1536;gw;52.179073,17.740740 52.248579,18.030244;52.213826,17.885492
Wójt Gminy Strzałkowo;302307;1;0;57.00;0;0;0;0;0;1;302307;2;Strzałkowo;14234;142;10372;73;757;827;gw;52.247201,17.683431 52.387939,17.899641;52.31757,17.791536
Wójt Gminy Powidz;302305;3;0;52.33;0;0;0;0;0;3;302305;2;Powidz;8069;81;2302;29;1695;2262;gw;52.365535,17.850402 52.487489,18.051769;52.426512,17.9510855
Wójt Gminy Kawęczyn;302704;2;0;47.00;1;0;0;0;0;1;302704;2;Kawęczyn;10105;101;5196;51;1372;1687;gw;51.834193,18.412967 51.961065,18.594860;51.897629,18.5039135
Burmistrz Dobrej;302703;2;1;49.50;1;1;0;0;0;0;302703;3;Dobra;13180;132;6219;47;888;1441;gmw;51.820786,18.561771 51.955126,18.767948;51.887956,18.6648595
Wójt Gminy Brodnica;302601;1;0;37.00;0;0;0;0;0;1;302601;2;Brodnica;9583;96;4896;51;1455;1757;gw;52.097804,16.790251 52.198006,16.993531;52.147905,16.891891
Wójt Gminy Damasławek;302802;2;0;42.00;0;0;0;0;0;2;302802;2;Damasławek;10454;105;5437;52;1311;1621;gw;52.783817,17.346639 52.904149,17.527148;52.843983,17.4368935
Wójt Gminy Władysławów;302709;2;1;44.00;1;1;0;0;0;0;302709;2;Władysławów;9072;91;8156;90;1527;1090;gw;52.058330,18.329341 52.170828,18.526704;52.114579,18.4280225
Wójt Gminy Mieścisko;302804;4;1;39.50;0;0;0;0;0;4;302804;2;Mieścisko;13506;135;5992;44;838;1492;gw;52.670845,17.201054 52.805854,17.458883;52.7383495,17.3299685
Burmistrz Miasta Wągrowca;302801;4;0;46.00;0;1;0;0;0;3;302801;1;Wągrowiec;1783;18;25607;1436;2254;239;gm;52.786908,17.158300 52.837600,17.236927;52.812254,17.1976135
Burmistrz Gminy i Miasta Tuliszków;302707;4;2;51.75;0;1;0;0;0;3;302707;3;Tuliszków;14966;150;10654;71;681;804;gmw;51.981305,18.218214 52.125458,18.444185;52.0533815,18.3311995
Wójt Gminy Wapno;302806;2;0;44.50;0;0;0;0;0;2;302806;2;Wapno;4406;44;3000;68;2065;2186;gw;52.875733,17.405390 52.958205,17.528441;52.916969,17.4669155
Burmistrz Miasta i Gminy Gołańcz;302803;2;0;55.50;0;0;0;0;0;2;302803;3;Gołańcz;19182;192;8347;44;383;1059;gmw;52.884833,17.174328 53.084018,17.444864;52.9844255,17.309596
Burmistrz Miasta i Gminy Skoki;302805;4;1;49.50;0;0;0;0;0;4;302805;3;Skoki;19849;198;9580;48;352;907;gmw;52.566791,17.031057 52.745926,17.342544;52.6563585,17.1868005
Burmistrz Miasta i Gminy Nekla;303003;2;0;47.00;0;0;0;0;0;2;303003;3;Nekla;9586;96;7461;78;1454;1204;gmw;52.269661,17.346785 52.418775,17.504461;52.344218,17.425623
Burmistrz Gminy i Miasta Krajenka;303103;5;0;46.20;0;0;0;0;0;5;303103;3;Krajenka;19118;191;7511;39;385;1194;gmw;53.169343,16.779738 53.334423,17.091092;53.251883,16.935415
Wójt Gminy Tarnówka;303106;2;0;43.00;0;0;0;0;0;2;303106;2;Tarnówka;13245;132;3071;23;879;2178;gw;53.243561,16.752818 53.408316,16.976840;53.3259385,16.864829
Burmistrz Pyzdr;303004;2;1;38.50;0;0;0;0;0;2;303004;3;Pyzdry;13782;138;7080;51;808;1264;gmw;52.063050,17.643329 52.222832,17.833598;52.142941,17.7384635
Burmistrz Miasta i Gminy Września;303005;4;0;48.50;0;1;0;0;0;3;303005;3;Września;22185;222;46439;209;253;105;gmw;52.245794,17.468853 52.413180,17.743332;52.329487,17.6060925
Burmistrz Miasta Złotowa;303101;3;0;53.67;0;0;0;0;0;3;303101;1;Złotów;1158;12;18441;1592;2305;384;gm;53.340493,17.005995 53.377923,17.084266;53.359208,17.0451305
Wójt Gminy Wągrowiec;302807;3;1;52.00;1;1;0;0;0;1;302807;2;Wągrowiec;34785;348;12249;35;51;673;gw;52.723630,17.002682 52.934509,17.383206;52.8290695,17.192944
Wójt Gminy Lipka;303104;1;0;36.00;0;0;0;0;0;1;303104;2;Lipka;19118;191;5601;29;385;1576;gw;53.419335,17.015388 53.542727,17.394055;53.481031,17.2047215
Burmistrz Gminy Miłosław;303002;3;0;51.00;1;0;0;0;0;2;303002;3;Miłosław;13212;132;10316;78;881;833;gmw;52.111752,17.425898 52.268280,17.617838;52.190016,17.521868
Wójt Gminy Siedlec;302902;3;0;55.67;1;0;0;1;0;1;302902;2;Siedlec;20464;205;12680;62;317;648;gw;52.065023,15.833296 52.246664,16.107487;52.1558435,15.9703915
Wójt Gminy Przemęt;302901;3;0;43.33;1;1;0;0;0;1;302901;2;Przemęt;22514;225;14081;63;245;559;gw;51.929183,16.107920 52.084089,16.465749;52.006636,16.2868345
Burmistrz Wolsztyna;302903;5;1;46.00;1;0;0;0;0;4;302903;3;Wolsztyn;24995;250;30528;122;181;183;gmw;51.977158,15.964344 52.176153,16.284513;52.0766555,16.1244285
Wójt Gminy Złotów;303108;1;0;51.00;0;0;0;0;0;1;303108;2;Złotów;29228;293;9899;34;111;874;gw;53.238541,16.865959 53.510279,17.265773;53.37441,17.065866
Burmistrz Gminy i Miasta Jastrowie;303102;1;0;49.00;0;0;0;0;0;1;303102;3;Jastrowie;35312;353;11592;33;46;732;gmw;53.281884,16.436241 53.488475,16.892600;53.3851795,16.6644205
Wójt Gminy Kołaczkowo;303001;4;1;53.75;1;0;0;0;0;3;303001;2;Kołaczkowo;11592;116;6065;52;1120;1476;gw;52.141675,17.555009 52.292169,17.781788;52.216922,17.6683985
Wójt Gminy Kamieniec;300503;1;0;56.00;0;0;0;0;0;1;300503;2;Kamieniec;13382;133;6689;50;863;1345;gw;52.082020,16.383019 52.218878,16.602994;52.150449,16.4930065
Prezydent Miasta Poznania;306401;7;1;50.71;0;1;1;0;0;5;306401;1;Poznań (a);26191;262;538633;2057;150;5;mm;52.291925,16.731588 52.509328,17.071492;52.4006265,16.90154
Burmistrz Rychwała;301007;1;0;61.00;0;0;0;0;0;1;301007;3;Rychwał;11790;118;8320;71;1085;1062;gmw;51.982313,18.069321 52.148798,18.229288;52.0655555,18.1493045
Prezydent Miasta Konina;306201;6;0;50.33;0;1;1;1;0;3;306201;1;Konin;8216;82;74834;911;1670;48;mm;52.182453,18.192607 52.329988,18.332695;52.2562205,18.262651
Wójt Gminy Kiszkowo;300304;1;0;63.00;0;0;0;0;0;1;300304;2;Kiszkowo;11449;114;5395;47;1136;1630;gw;52.534354,17.150624 52.643900,17.415830;52.589127,17.283227
Wójt Gminy Wilczyn;301014;2;0;56.50;0;1;0;0;0;1;301014;2;Wilczyn;8320;83;6245;75;1652;1435;gw;52.408481,18.071544 52.509508,18.272102;52.4589945,18.171823
Burmistrz Miasta Kościana;301101;5;1;49.20;0;1;1;0;0;3;301101;1;Kościan;879;9;23907;2720;2324;265;gm;52.067676,16.618650 52.099247,16.680265;52.0834615,16.6494575
Wójt Gminy Rzgów;301008;1;0;45.00;0;0;0;0;0;1;301008;2;Rzgów;10466;105;7245;69;1308;1241;gw;52.074408,17.968586 52.214883,18.192023;52.1446455,18.0803045
Burmistrz Miasta Sompolno;301010;3;0;52.00;0;1;0;0;0;2;301010;3;Sompolno;13742;137;10414;76;811;824;gmw;52.294991,18.403632 52.419584,18.629458;52.3572875,18.516545
Burmistrz Miasta i Gminy Ślesin;301012;2;0;51.00;0;1;0;0;0;1;301012;3;Ślesin;14563;146;13992;96;726;562;gmw;52.293894,18.220446 52.435407,18.447911;52.3646505,18.3341785
Burmistrz Miasta i Gminy Jaraczewo;300601;3;0;53.33;1;0;0;1;0;1;300601;3;Jaraczewo;13309;133;8289;62;871;1066;gmw;51.873507,17.186391 52.021985,17.443771;51.947746,17.315081
Prezydent Miasta Leszna;306301;5;2;44.00;0;1;1;1;0;2;306301;1;Leszno;3186;32;64197;2015;2155;63;mm;51.806660,16.527728 51.881495,16.624136;51.8440775,16.575932
Burmistrz Jarocina;300602;4;1;50.75;0;1;0;0;0;3;300602;3;Jarocin;20013;200;45571;228;343;109;gmw;51.873397,17.384545 52.055022,17.633459;51.9642095,17.509002
Prezydent Miasta Gniezna;300301;4;0;52.25;0;1;0;0;0;3;300301;1;Gniezno;4060;41;68943;1698;2089;57;gm;52.483038,17.547818 52.566770,17.658837;52.524904,17.6033275
Wójt Gminy Mieleszyn;300307;2;0;54.50;0;0;0;0;0;2;300307;2;Mieleszyn;9891;99;4057;41;1410;1967;gw;52.608580,17.427686 52.738948,17.647700;52.673764,17.537693
Burmistrz Miasta Dąbie;300904;2;0;41.50;0;0;0;0;0;2;300904;3;Dąbie;13035;130;6404;49;907;1403;gmw;52.060927,18.682422 52.166278,18.949772;52.1136025,18.816097
Burmistrz Borku Wielkopolskiego;300401;1;0;52.00;0;0;0;0;0;1;300401;3;Borek Wielkopolski;12764;128;7536;59;950;1191;gmw;51.848159,17.109431 51.968922,17.336786;51.9085405,17.2231085
Burmistrz Gostynia;300402;1;0;36.00;0;0;0;0;0;1;300402;3;Gostyń;13728;137;28059;204;813;202;gmw;51.818975,16.860926 51.980203,17.072930;51.899589,16.966928
Wójt Gminy Kramsk;301005;6;2;49.33;0;1;0;0;0;5;301005;2;Kramsk;13204;132;11135;84;884;763;gw;52.206433,18.277949 52.323772,18.536496;52.2651025,18.4072225
Burmistrz Gminy i Miasta Kleczew;301004;3;0;45.33;0;0;0;0;0;3;301004;3;Kleczew;11028;110;9991;91;1223;864;gmw;52.339345,18.025616 52.473345,18.244440;52.406345,18.135028
Wójt Gminy Krzymów;301006;3;1;56.00;0;1;0;0;0;2;301006;2;Krzymów;9250;92;7961;86;1509;1119;gw;52.122774,18.283044 52.229661,18.467218;52.1762175,18.375131
Wójt Gminy Blizanów;300701;1;0;52.00;0;0;0;0;0;1;300701;2;Blizanów;15752;158;9905;63;619;873;gw;51.775882,17.934043 52.001068,18.094297;51.888475,18.01417
Wójt Gminy Koźminek;300705;5;1;48.00;1;1;0;0;0;3;300705;2;Koźminek;8865;89;7557;85;1554;1185;gw;51.735914,18.225397 51.848365,18.432236;51.7921395,18.3288165
Wójt Gminy Ceków-Kolonia;300703;1;0;40.00;0;0;0;0;0;1;300703;2;Ceków-Kolonia;8831;88;4786;54;1559;1787;gw;51.800280,18.194648 51.930001,18.416375;51.8651405,18.3055115
Wójt Gminy Brzeziny;300702;3;1;48.00;0;1;0;0;0;2;300702;2;Brzeziny;12695;127;5862;46;958;1524;gw;51.532877,18.158334 51.647832,18.378614;51.5903545,18.268474
Wójt Gminy Godziesze Wielkie;300704;2;0;62.50;0;1;0;0;0;1;300704;2;Godziesze Wielkie;10540;105;9441;90;1300;915;gw;51.586815,18.074368 51.719551,18.256799;51.653183,18.1655835
Wójt Gminy Mycielin;300707;4;0;39.00;1;1;0;0;0;2;300707;2;Mycielin;11089;111;4905;44;1205;1754;gw;51.874973,18.164719 52.045533,18.332005;51.960253,18.248362
Burmistrz Gminy Kłecko;300305;1;0;51.00;0;0;0;0;0;1;300305;3;Kłecko;13193;132;7544;57;886;1189;gmw;52.543888,17.312424 52.690470,17.532409;52.617179,17.4224165
Wójt Gminy Wierzbinek;301013;1;0;37.00;0;0;0;0;0;1;301013;2;Wierzbinek;14755;147;7396;50;700;1218;gw;52.384886,18.341316 52.504773,18.657677;52.4448295,18.4994965
Wójt Gminy Stare Miasto;301011;4;2;43.50;0;1;0;0;0;3;301011;2;Stare Miasto;9788;98;12154;124;1427;679;gw;52.093318,18.135157 52.222595,18.313966;52.1579565,18.2245615
Wójt Gminy Lisków;300706;2;1;66.50;0;1;0;0;0;1;300706;2;Lisków;7550;76;5279;70;1765;1658;gw;51.791669,18.291126 51.890932,18.481647;51.8413005,18.3863865
Burmistrz Gminy Opatówek;300708;2;0;51.50;0;0;0;0;0;2;300708;3;Opatówek;10427;104;10856;104;1317;785;gmw;51.685374,18.127923 51.804254,18.322840;51.744814,18.2253815
Wójt Gminy Żelazków;300711;4;1;53.50;0;0;0;0;0;4;300711;2;Żelazków;11367;114;9439;83;1149;916;gw;51.762882,18.066061 51.910070,18.242977;51.836476,18.154519
Burmistrz Stawiszyna;300709;4;3;46.00;1;1;0;0;0;2;300709;3;Stawiszyn;7850;78;7229;92;1725;1247;gmw;51.868776,18.060024 51.986100,18.211382;51.927438,18.135703
Wójt Gminy Szczytniki;300710;3;1;53.67;1;1;0;0;0;1;300710;2;Szczytniki;11033;110;7865;71;1220;1130;gw;51.613476,18.234951 51.754150,18.423483;51.683813,18.329217
Wójt Gminy Chodów;300903;2;0;53.00;1;0;0;0;0;1;300903;2;Chodów;7779;78;3075;40;1733;2177;gw;52.200114,18.935999 52.306897,19.105000;52.2535055,19.0204995
Wójt Gminy Gniezno;300303;2;1;59.50;1;0;0;0;0;1;300303;2;Gniezno;17816;178;11614;65;466;729;gw;52.484711,17.497394 52.652880,17.762902;52.5687955,17.630148
Burmistrz Miasta i Gminy Czerniejewo;300302;1;0;53.00;0;0;0;0;0;1;300302;3;Czerniejewo;11194;112;7310;65;1181;1227;gmw;52.379080,17.381781 52.497766,17.606187;52.438423,17.493984
Wójt Gminy Baranów;300801;2;2;55.00;0;0;0;0;0;2;300801;2;Baranów;7441;74;7948;107;1787;1123;gw;51.185134,17.894610 51.283418,18.105248;51.234276,17.999929
Wójt Gminy Bralin;300802;2;0;56.00;0;0;0;0;0;2;300802;2;Bralin;8535;85;6093;71;1613;1468;gw;51.213675,17.822247 51.353584,17.964578;51.2836295,17.8934125
Wójt Gminy Perzów;300805;2;1;48.00;0;0;0;0;0;2;300805;2;Perzów;7533;75;3768;50;1769;2044;gw;51.186688,17.738160 51.309654,17.869634;51.248171,17.803897
Burmistrz Miasta i Gminy Kępno;300803;2;0;48.00;0;0;0;0;0;2;300803;3;Kępno;12387;124;24520;198;999;254;gmw;51.267928,17.887775 51.393382,18.120214;51.330655,18.0039945
Wójt Gminy Łęka Opatowska;300804;2;1;43.50;0;0;0;0;0;2;300804;2;Łęka Opatowska;7771;78;5301;68;1737;1656;gw;51.153404,18.050726 51.273630,18.180285;51.213517,18.1155055
Wójt Gminy Łubowo;300306;1;0;63.00;0;0;0;0;0;1;300306;2;Łubowo;11354;114;6563;58;1152;1366;gw;52.440212,17.320634 52.564989,17.533234;52.5026005,17.426934
Burmistrz Trzemeszna;300309;4;0;47.75;1;0;0;0;0;3;300309;3;Trzemeszno;17530;175;14349;82;483;548;gmw;52.507691,17.715708 52.656933,17.991559;52.582312,17.8536335
Burmistrz Miasta i Gminy Żerków;300604;2;0;38.00;0;0;0;0;0;2;300604;3;Żerków;17015;170;10378;61;516;826;gmw;51.984132,17.469279 52.145542,17.723557;52.064837,17.596418
Wójt Gminy Trzcinica;300807;1;0;55.00;0;0;0;0;0;1;300807;2;Trzcinica;7504;75;4921;66;1776;1749;gw;51.121856,17.927652 51.226808,18.081784;51.174332,18.004718
Wójt Gminy Grzegorzew;300905;2;1;41.50;0;0;0;0;0;2;300905;2;Grzegorzew;7333;73;5702;78;1802;1548;gw;52.146890,18.678491 52.278914,18.844142;52.212902,18.7613165
Wójt Gminy Pępowo;300404;2;0;56.00;0;0;0;0;0;2;300404;2;Pępowo;8659;86;5979;69;1586;1496;gw;51.699104,17.040949 51.821505,17.183574;51.7603045,17.1122615
Burmistrz Krobi;300403;2;1;38.50;0;0;0;0;0;2;300403;3;Krobia;12954;130;13079;101;917;621;gmw;51.694004,16.875746 51.836791,17.091849;51.7653975,16.9837975
Wójt Gminy Piaski;300405;1;0;63.00;0;0;0;0;0;1;300405;2;Piaski;10073;100;8633;86;1380;1021;gw;51.807416,17.013350 51.933507,17.214696;51.8704615,17.114023
Burmistrz Pogorzeli;300406;1;0;61.00;1;0;0;0;0;0;300406;3;Pogorzela;9654;97;5036;52;1443;1717;gmw;51.751120,17.158295 51.863853,17.340559;51.8074865,17.249427
Wójt Gminy Rychtal;300806;2;0;48.00;0;0;0;0;0;2;300806;2;Rychtal;9655;97;3843;40;1442;2024;gw;51.103645,17.811970 51.231951,18.004318;51.167798,17.908144
Burmistrz Kłodawy;300906;6;2;51.50;1;1;0;1;1;2;300906;3;Kłodawa;12893;129;13005;101;930;628;gmw;52.195401,18.772784 52.341112,18.992181;52.2682565,18.8824825
Wójt Gminy Kościelec;300908;2;0;48.50;0;0;0;1;0;1;300908;2;Kościelec;10464;105;6842;65;1309;1313;gw;52.120272,18.456901 52.215580,18.696568;52.167926,18.5767345
Wójt Gminy Osiek Mały;300910;1;0;55.00;1;0;0;0;0;0;300910;2;Osiek Mały;8732;87;6075;70;1574;1475;gw;52.223221,18.479630 52.340485,18.654462;52.281853,18.567046
Burmistrz Miasta Przedecz;300911;1;0;62.00;0;0;0;0;0;1;300911;3;Przedecz;7645;76;4193;55;1754;1935;gmw;52.296984,18.827399 52.399895,19.047436;52.3484395,18.9374175
Burmistrz Miasta Koła;300901;6;2;46.00;0;1;1;1;0;3;300901;1;Koło;1385;14;22227;1605;2285;294;gm;52.167339,18.591960 52.229418,18.679530;52.1983785,18.635745
Burmistrz Opalenicy;301505;1;0;49.00;0;0;0;0;0;1;301505;3;Opalenica;14891;149;16423;110;687;449;gmw;52.248429,16.275729 52.387352,16.512664;52.3178905,16.3941965
Wójt Gminy Olszówka;300909;1;0;60.00;0;0;0;0;0;1;300909;2;Olszówka;8170;82;4570;56;1678;1837;gw;52.133103,18.787602 52.233451,18.949272;52.183277,18.868437
Burmistrz Zbąszynia;301506;1;0;50.00;0;0;0;0;0;1;301506;3;Zbąszyń;17999;180;13748;76;448;578;gmw;52.182772,15.849504 52.354701,16.068624;52.2687365,15.959064
Burmistrz Wielichowa;300505;1;1;45.00;0;0;0;0;0;1;300505;3;Wielichowo;10758;108;6834;64;1266;1314;gmw;52.033254,16.260112 52.181442,16.469789;52.107348,16.3649505
Wójt Gminy Skulsk;301009;4;1;45.25;0;1;0;0;0;3;301009;2;Skulsk;8489;85;6142;72;1621;1458;gw;52.412499,18.239979 52.543360,18.398790;52.4779295,18.3193845
Burmistrz Okonka;303105;3;0;58.67;0;0;0;0;0;3;303105;3;Okonek;32599;326;8691;27;72;1014;gmw;53.431989,16.645441 53.655869,17.018231;53.543929,16.831836
Wójt Gminy Babiak;300902;2;0;54.00;0;0;0;0;0;2;300902;2;Babiak;13377;134;7969;60;864;1117;gw;52.269182,18.589913 52.428355,18.832177;52.3487685,18.711045
Burmistrz Goliny;301001;3;0;55.00;0;1;0;0;0;2;301001;3;Golina;9897;99;12033;122;1409;690;gmw;52.191313,18.008673 52.295795,18.203160;52.243554,18.1059165
Wójt Gminy Kazimierz Biskupi;301003;4;0;45.75;0;0;0;0;0;4;301003;2;Kazimierz Biskupi;10765;108;11467;107;1264;741;gw;52.246610,18.021218 52.365511,18.252547;52.3060605,18.1368825
Burmistrz Rakoniewic;300504;2;0;41.00;0;0;0;0;0;2;300504;3;Rakoniewice;20101;201;13150;65;339;614;gmw;52.057930,16.063730 52.253244,16.397295;52.155587,16.2305125
Wójt Gminy Grodziec;301002;3;0;35.67;0;0;0;0;0;3;301002;2;Grodziec;11782;118;5220;44;1087;1680;gw;51.975740,17.934780 52.106235,18.128462;52.0409875,18.031621
