urzad;razem;kobietyP;wiek;PSL;PiS;PO;SLD;PP;NP;teryt;xteryt;name;areaH;popThs;popKm;rankP;type;bb;center
Burmistrz Blachowni;5;60.00;45.40;0;0;0;0;0;5;240401;3;Blachownia;6661.0;13056.0;196;624;gmw;50.757959,18.848292 50.835744,19.034735;50.7968515,18.9415135
Wójt Gminy Janów;4;25.00;52.00;0;0;0;0;0;4;240403;2;Janów;14675.0;5979.0;41;1496;gw;50.662921,19.346216 50.802084,19.591752;50.7325025,19.468984
Wójt Gminy Kłomnice;3;0.00;48.33;0;1;0;0;0;2;240405;2;Kłomnice;14773.0;13602.0;92;588;gw;50.838210,19.260588 50.975165,19.510432;50.9066875,19.38551
Wójt Gminy Kruszyna;2;100.00;51.50;0;0;0;0;0;2;240408;2;Kruszyna;9355.0;4869.0;52;1765;gw;50.946266,19.202432 51.047717,19.410723;50.9969915,19.3065775
Wójt Gminy Konopiska;6;33.33;47.83;1;0;0;1;0;4;240407;2;Konopiska;7851.0;10775.0;137;795;gw;50.662729,18.913007 50.772249,19.074171;50.717489,18.993589
Wójt Gminy Lelów;1;0.00;53.00;0;0;0;0;0;1;240409;2;Lelów;12369.0;4929.0;40;1746;gw;50.637013,19.523727 50.776666,19.785962;50.7068395,19.6548445
Prezydent Miasta Sosnowca;6;33.33;48.67;0;1;1;1;0;3;247501;1;Sosnowiec;9106.0;204013.0;2240;15;mm;50.225522,19.071312 50.316944,19.317924;50.271233,19.194618
Wójt Gminy Olsztyn;2;0.00;56.50;1;0;0;0;0;1;240412;2;Olsztyn;10910.0;7785.0;71;1142;gw;50.680392,19.182179 50.790733,19.372717;50.7355625,19.277448
Burmistrz Krzepic;2;0.00;60.00;1;1;0;0;0;0;240602;3;Krzepice;7894.0;9212.0;117;941;gmw;50.915939,18.612386 51.019793,18.790226;50.967866,18.701306
Wójt Gminy Mykanów;6;50.00;49.33;1;1;1;0;0;3;240411;2;Mykanów;14156.0;15034.0;106;511;gw;50.854570,19.060167 51.010850,19.301176;50.93271,19.1806715
Wójt Gminy Miedźno;2;0.00;49.00;1;0;0;0;0;1;240604;2;Miedźno;11277.0;7557.0;67;1185;gw;50.936118,18.873634 51.035534,19.127733;50.985826,19.0006835
Wójt Gminy Poczesna;3;0.00;46.67;0;0;0;0;0;3;240413;2;Poczesna;5998.0;12705.0;212;645;gw;50.690961,19.048384 50.758368,19.223021;50.7246645,19.1357025
Wójt Gminy Starcza;2;50.00;52.50;1;0;0;0;0;1;240416;2;Starcza;2009.0;2824.0;141;2209;gw;50.634640,18.998265 50.691668,19.099807;50.663154,19.049036
Prezydent Miasta Bielska-Białej;6;16.67;51.83;0;1;1;1;0;3;246101;1;Bielsko-Biała;12451.0;171505.0;1377;22;mm;49.736796,18.945434 49.887440,19.132134;49.812118,19.038784
Wójt Gminy Rędziny;4;25.00;54.00;0;1;0;0;0;3;240415;2;Rędziny;4123.0;9977.0;242;866;gw;50.843005,19.175249 50.918331,19.284054;50.880668,19.2296515
Prezydent Bytomia;7;0.00;51.14;0;1;1;1;0;4;246201;1;Bytom;6944.0;168394.0;2425;23;mm;50.316708,18.788584 50.413355,18.964021;50.3650315,18.8763025
Wójt Gminy Lipie;3;66.67;59.00;1;1;0;0;0;1;240603;2;Lipie;9905.0;6302.0;64;1425;gw;50.982926,18.671961 51.076444,18.894966;51.029685,18.7834635
Prezydent Miasta Dąbrowa Górnicza;5;20.00;47.20;0;1;1;1;0;2;246501;1;Dąbrowa Górnicza;18873.0;121121.0;642;30;mm;50.291589,19.155714 50.448019,19.487647;50.369804,19.3216805
Wójt Gminy Przystajń;1;0.00;60.00;0;0;0;0;0;1;240608;2;Przystajń;8883.0;5906.0;66;1510;gw;50.785247,18.615201 50.928977,18.787749;50.857112,18.701475
Burmistrz Czechowic-Dziedzic;4;0.00;43.25;0;1;0;0;0;3;240204;3;Czechowice-Dziedzice;6648.0;45204.0;680;110;gmw;49.862089,18.881437 49.946055,19.041959;49.904072,18.961698
Wójt Gminy Jasienica;1;0.00;47.00;0;0;0;0;0;1;240205;2;Jasienica;9167.0;23850.0;260;269;gw;49.772453,18.826857 49.889932,19.014033;49.8311925,18.920445
Wójt Gminy Porąbka;2;50.00;39.50;0;0;0;0;0;2;240208;2;Porąbka;6443.0;15544.0;241;491;gw;49.775650,19.175320 49.871614,19.316784;49.823632,19.246052
Wójt Gminy Kozy;3;0.00;45.33;0;0;0;0;0;3;240207;2;Kozy;2674.0;12926.0;483;631;gw;49.790426,19.099730 49.868042,19.179345;49.829234,19.1395375
Wójt Gminy Wilkowice;3;33.33;48.33;0;0;0;0;0;3;240210;2;Wilkowice;3440.0;13303.0;387;603;gw;49.730895,18.993586 49.800163,19.153408;49.765529,19.073497
Burmistrz Wilamowic;1;0.00;63.00;0;0;0;0;0;1;240209;3;Wilamowice;5734.0;17313.0;302;420;gmw;49.863216,19.073166 49.958756,19.196778;49.910986,19.134972
Burmistrz Kłobucka;4;25.00;49.25;1;0;0;1;0;2;240601;3;Kłobuck;13001.0;20498.0;158;328;gmw;50.844027,18.853703 50.969666,19.111563;50.9068465,18.982633
Burmistrz Miasta Wojkowice;1;0.00;31.00;0;0;0;0;0;1;240103;1;Wojkowice;1279.0;8984.0;702;976;gm;50.347442,18.984855 50.384463,19.078190;50.3659525,19.0315225
Prezydent Miasta Będzina;3;0.00;40.00;0;1;0;0;0;2;240101;1;Będzin;3737.0;57343.0;1534;81;gm;50.301294,19.058420 50.370318,19.189572;50.335806,19.123996
Burmistrz Miasta Czeladź;4;25.00;61.75;0;1;0;0;0;3;240102;1;Czeladź;1638.0;31901.0;1948;174;gm;50.294344,19.045113 50.344041,19.119551;50.3191925,19.082332
Wójt Gminy Wielowieś;1;0.00;60.00;0;0;0;0;0;1;240508;2;Wielowieś;11618.0;5887.0;51;1518;gw;50.435600,18.429906 50.552713,18.665249;50.4941565,18.5475775
Burmistrz Woźnik;6;0.00;49.17;0;1;0;0;0;5;240708;3;Woźniki;12762.0;9655.0;76;898;gmw;50.493283,18.931312 50.668341,19.109318;50.580812,19.020315
Wójt Gminy Bobrowniki;2;100.00;39.00;0;0;0;0;0;2;240104;2;Bobrowniki;5148.0;11921.0;232;699;gw;50.368395,18.957606 50.456500,19.103989;50.4124475,19.0307975
Wójt Gminy Koszęcin;1;0.00;50.00;0;0;0;0;0;1;240706;2;Koszęcin;12918.0;11878.0;92;706;gw;50.542130,18.714883 50.692871,18.952263;50.6175005,18.833573
Wójt Gminy Psary;2;0.00;45.50;0;0;0;0;0;2;240106;2;Psary;4616.0;12046.0;261;688;gw;50.350430,19.054353 50.422760,19.189477;50.386595,19.121915
Wójt Gminy Gierałtowice;2;0.00;54.00;0;0;0;0;0;2;240503;2;Gierałtowice;3806.0;12009.0;316;693;gw;50.193428,18.693320 50.272622,18.804405;50.233025,18.7488625
Burmistrz Miasta i Gminy Siewierz;5;20.00;53.00;0;0;0;0;0;5;240107;3;Siewierz;11385.0;12390.0;109;665;gmw;50.384253,19.113661 50.536363,19.306843;50.460308,19.210252
Wójt Gminy Pawonków;2;50.00;48.50;0;0;0;0;0;2;240707;2;Pawonków;11893.0;6646.0;56;1353;gw;50.599573,18.478285 50.736903,18.666074;50.668238,18.5721795
Burmistrz Miasta Sławkowa;3;33.33;49.00;0;1;0;0;0;2;240108;1;Sławków;3667.0;7040.0;192;1270;gm;50.257642,19.280837 50.325928,19.414298;50.291785,19.3475675
Wójt Gminy Popów;5;20.00;44.60;0;0;0;0;0;5;240607;2;Popów;10229.0;5925.0;58;1507;gw;50.970345,18.817132 51.099430,19.056665;51.0348875,18.9368985
Wójt Gminy Wręczyca Wielka;5;20.00;43.40;0;0;0;0;0;5;240609;2;Wręczyca Wielka;14828.0;17786.0;120;407;gw;50.766169,18.755271 50.904475,19.042429;50.835322,18.89885
Wójt Gminy Kochanowice;2;0.00;48.00;0;0;0;0;0;2;240705;2;Kochanowice;8002.0;6924.0;87;1294;gw;50.675072,18.629086 50.772399,18.834406;50.7237355,18.731746
Wójt Gminy Rudziniec;2;50.00;46.00;0;0;0;0;0;2;240505;2;Rudziniec;15914.0;10655.0;67;803;gw;50.299559,18.357780 50.446105,18.603468;50.372832,18.480624
Prezydent Miasta Knurów;3;0.00;52.67;0;1;0;0;0;2;240501;1;Knurów;3395.0;38594.0;1137;135;gm;50.173926,18.612316 50.240525,18.713598;50.2072255,18.662957
Burmistrz Miasta Łaziska Górne;2;0.00;53.00;0;1;0;0;0;1;240801;1;Łaziska Górne;2007.0;22390.0;1116;293;gm;50.119102,18.811669 50.167890,18.893745;50.143496,18.852707
Burmistrz Mikołowa;4;25.00;51.75;0;1;0;0;0;3;240802;1;Mikołów;7921.0;40423.0;510;124;gm;50.143747,18.775673 50.248409,18.948146;50.196078,18.8619095
Wójt Gminy Wyry;3;33.33;43.33;0;0;0;0;1;2;240805;2;Wyry;3462.0;8087.0;234;1100;gw;50.081915,18.831003 50.151918,18.955852;50.1169165,18.8934275
Burmistrz Miasta Pyskowice;5;20.00;53.80;0;1;0;0;0;4;240502;1;Pyskowice;3089.0;18417.0;596;385;gm;50.361895,18.543365 50.421297,18.658546;50.391596,18.6009555
Wójt Gminy Boronów;4;25.00;44.25;0;0;0;0;0;4;240702;2;Boronów;5728.0;3395.0;59;2120;gw;50.640536,18.855253 50.719679,18.987687;50.6801075,18.92147
Burmistrz Miasta Lublińca;2;0.00;45.50;0;1;0;0;0;1;240701;1;Lubliniec;8936.0;23899.0;267;267;gm;50.585909,18.620084 50.700579,18.797230;50.643244,18.708657
Prezydent Miasta Chorzów;7;0.00;50.71;0;1;1;0;1;4;246301;1;Chorzów;3324.0;109021.0;3280;36;mm;50.239129,18.918970 50.337785,19.006697;50.288457,18.9628335
Burmistrz Miasta Orzesze;2;0.00;45.50;0;0;0;0;0;2;240803;1;Orzesze;8375.0;20773.0;248;325;gm;50.053872,18.721978 50.162517,18.867230;50.1081945,18.794604
Burmistrz Toszka;2;0.00;35.50;0;0;0;0;0;2;240507;3;Toszek;9982.0;9426.0;94;917;gmw;50.385070,18.379609 50.499462,18.635324;50.442266,18.5074665
Wójt Gminy Herby;1;100.00;47.00;0;0;0;0;0;1;240704;2;Herby;8591.0;6862.0;80;1306;gw;50.682107,18.730807 50.797527,18.936295;50.739817,18.833551
Wójt Gminy Ciasna;1;0.00;64.00;0;0;0;0;0;1;240703;2;Ciasna;13395.0;7509.0;56;1195;gw;50.707180,18.503632 50.854000,18.764822;50.78059,18.634227
Wójt Gminy Ornontowice;2;0.00;51.00;0;0;0;0;0;2;240804;2;Ornontowice;1545.0;6016.0;389;1487;gw;50.157060,18.719901 50.207298,18.783035;50.182179,18.751468
Wójt Gminy Panki;3;33.33;51.33;1;0;0;0;0;2;240606;2;Panki;5494.0;5099.0;93;1706;gw;50.834055,18.689750 50.937890,18.817919;50.8859725,18.7538345
Wójt Gminy Opatów;3;0.00;53.00;1;0;1;0;0;1;240605;2;Opatów;7348.0;6809.0;93;1321;gw;50.895895,18.741246 50.997222,18.918019;50.9465585,18.8296325
Wójt Gminy Suszec;1;0.00;64.00;0;0;0;0;0;1;241006;2;Suszec;7508.0;12157.0;162;678;gw;49.975664,18.749183 50.068567,18.898621;50.0221155,18.823902
Prezydent Miasta Racibórz;5;20.00;50.00;0;0;0;0;0;5;241101;1;Racibórz;7501.0;55189.0;736;84;gm;50.044275,18.141041 50.136961,18.302496;50.090618,18.2217685
Wójt Gminy Gaszowice;1;0.00;34.00;0;0;0;0;0;1;241202;2;Gaszowice;1985.0;9652.0;486;899;gw;50.070921,18.380283 50.121768,18.464483;50.0963445,18.422383
Burmistrz Miasta Kuźnia Raciborska;2;50.00;45.00;0;0;0;0;0;2;241105;3;Kuźnia Raciborska;12662.0;11894.0;94;704;gmw;50.154934,18.235204 50.258235,18.503242;50.2065845,18.369223
Wójt Gminy Rudnik;2;0.00;35.00;0;0;0;0;0;2;241108;2;Rudnik;7388.0;5189.0;70;1688;gw;50.111342,18.057984 50.197642,18.260029;50.154492,18.1590065
Burmistrz Pszczyny;3;33.33;43.33;0;1;0;0;0;2;241005;3;Pszczyna;17473.0;52345.0;300;87;gmw;49.921487,18.742991 50.062860,19.060595;49.9921735,18.901793
Wójt Gminy Pietrowice Wielkie;2;0.00;47.50;0;0;0;0;0;2;241107;2;Pietrowice Wielkie;6793.0;6935.0;102;1292;gw;50.044892,18.035065 50.167079,18.166453;50.1059855,18.100759
Wójt Gminy Jejkowice;1;0.00;31.00;0;0;0;0;0;1;241203;2;Jejkowice;759.0;4137.0;545;1944;gw;50.082708,18.451668 50.121632,18.493651;50.10217,18.4726595
Wójt Gminy Krzyżanowice;2;0.00;42.00;0;0;0;0;0;2;241104;2;Krzyżanowice;6970.0;11362.0;163;754;gw;49.915678,18.174066 50.052162,18.351732;49.98392,18.262899
Burmistrz Gminy i Miasta Czerwionka-Leszczyny;4;25.00;49.50;0;1;0;0;0;3;241201;3;Czerwionka-Leszczyny;11464.0;42170.0;368;119;gmw;50.065767,18.551955 50.201911,18.752786;50.133839,18.6523705
Wójt Gminy Świerklany;3;33.33;40.33;0;0;0;0;0;3;241205;2;Świerklany;2417.0;12347.0;511;668;gw;49.996529,18.523195 50.061203,18.615632;50.028866,18.5694135
Wójt Gminy Kornowac;1;0.00;48.00;0;0;0;0;0;1;241102;2;Kornowac;2620.0;5156.0;197;1690;gw;50.048821,18.269928 50.103760,18.381178;50.0762905,18.325553
Burmistrz Krzanowic;1;0.00;38.00;0;0;0;0;0;1;241103;3;Krzanowice;4720.0;5753.0;122;1540;gmw;49.982371,18.065992 50.074800,18.191714;50.0285855,18.128853
Burmistrz Gminy i Miasta Koziegłowy;2;0.00;42.00;0;0;0;0;0;2;240902;3;Koziegłowy;15964.0;14369.0;90;546;gmw;50.507910,19.073360 50.650593,19.297453;50.5792515,19.1854065
Wójt Gminy Lyski;3;0.00;50.00;0;0;0;0;1;2;241204;2;Lyski;5739.0;9636.0;168;901;gw;50.073748,18.283109 50.155957,18.467919;50.1148525,18.375514
Wójt Gminy Zbrosławice;3;0.00;54.33;0;1;0;0;0;2;241309;2;Zbrosławice;14836.0;16001.0;108;470;gw;50.328019,18.613971 50.487565,18.812031;50.407792,18.713001
Burmistrz Miasta Myszków;4;25.00;50.00;0;1;1;0;0;2;240901;1;Myszków;7359.0;31974.0;434;173;gm;50.506608,19.262759 50.622731,19.391311;50.5646695,19.327035
Wójt Gminy Miedźna;4;0.00;49.00;0;1;0;0;0;3;241003;2;Miedźna;5009.0;16347.0;326;453;gw;49.950935,19.017203 50.039424,19.146095;49.9951795,19.081649
Wójt Gminy Nędza;2;50.00;68.50;0;1;0;0;0;1;241106;2;Nędza;5722.0;7440.0;130;1207;gw;50.115678,18.229917 50.192500,18.409793;50.154089,18.319855
Wójt Gminy Poraj;2;100.00;52.00;0;0;0;0;0;2;240904;2;Poraj;5706.0;10925.0;191;782;gw;50.602850,19.162835 50.704415,19.306279;50.6536325,19.234557
Burmistrz Miasta i Gminy Żarki;3;33.33;51.67;0;1;0;0;0;2;240905;3;Żarki;10100.0;8443.0;84;1046;gmw;50.581031,19.248986 50.692402,19.488885;50.6367165,19.3689355
Wójt Gminy Krupski Młyn;3;0.00;62.33;0;1;0;0;0;2;241305;2;Krupski Młyn;3908.0;3212.0;82;2155;gw;50.535099,18.590842 50.604453,18.714762;50.569776,18.652802
Burmistrz Miasta Kalety;1;0.00;50.00;0;0;0;0;0;1;241301;1;Kalety;7629.0;8627.0;113;1023;gm;50.520268,18.815806 50.617267,19.043656;50.5687675,18.929731
Wójt Gminy Niegowa;5;0.00;52.00;0;1;0;0;0;4;240903;2;Niegowa;8796.0;5685.0;65;1552;gw;50.602086,19.402638 50.690564,19.629140;50.646325,19.515889
Wójt Gminy Kobiór;2;50.00;54.00;0;1;0;0;0;1;241002;2;Kobiór;4819.0;4898.0;102;1756;gw;50.040740,18.847455 50.100420,19.044912;50.07058,18.9461835
Wójt Gminy Pawłowice;2;0.00;61.00;0;0;0;0;0;2;241004;2;Pawłowice;7568.0;18143.0;240;391;gw;49.878919,18.618048 50.014544,18.763053;49.9467315,18.6905505
Burmistrz Miasta Rydułtowy;3;0.00;45.67;0;0;0;0;0;3;241503;1;Rydułtowy;1495.0;21700.0;1452;307;gm;50.045967,18.378820 50.087058,18.463279;50.0665125,18.4210495
Wójt Gminy Świerklaniec;4;25.00;48.25;0;1;0;0;0;3;241307;2;Świerklaniec;4463.0;12069.0;270;687;gw;50.412136,18.877315 50.482236,18.997428;50.447186,18.9373715
Wójt Gminy Ożarowice;3;66.67;46.67;0;1;0;0;0;2;241306;2;Ożarowice;4588.0;5715.0;125;1544;gw;50.428565,18.982462 50.522545,19.134466;50.475555,19.058464
Wójt Gminy Bojszowy;2;0.00;54.50;0;0;0;0;0;2;241404;2;Bojszowy;3469.0;7795.0;225;1141;gw;50.017056,19.030557 50.091396,19.165309;50.054226,19.097933
Prezydent Miasta Wodzisławia Śląskiego;4;0.00;44.25;0;1;0;0;0;3;241504;1;Wodzisław Śląski;4951.0;48345.0;976;96;gm;49.965926,18.355875 50.038664,18.524055;50.002295,18.439965
Burmistrz Miasta Pszów;4;25.00;57.50;0;1;0;0;0;3;241501;1;Pszów;2044.0;14114.0;691;558;gm;50.018629,18.349083 50.071637,18.432962;50.045133,18.3910225
Wójt Gminy Godów;2;0.00;39.00;0;0;0;0;0;2;241505;2;Godów;3805.0;13653.0;359;584;gw;49.899495,18.418584 49.975869,18.547076;49.937682,18.48283
Burmistrz Miasta Bierunia;4;0.00;42.50;0;0;0;0;0;4;241401;1;Bieruń;4049.0;19639.0;485;352;gm;50.056266,19.053720 50.112549,19.233570;50.0844075,19.143645
Burmistrz Miasta Imielin;1;0.00;62.00;0;0;0;0;0;1;241402;1;Imielin;2799.0;9052.0;323;969;gm;50.118315,19.144857 50.169448,19.255029;50.1438815,19.199943
Burmistrz Radlina;2;100.00;55.00;0;0;0;0;0;2;241502;1;Radlin;1253.0;17861.0;1425;405;gm;50.019599,18.427186 50.062740,18.504911;50.0411695,18.4660485
Wójt Gminy Lubomia;1;0.00;57.00;0;0;0;0;0;1;241507;2;Lubomia;4178.0;7900.0;189;1129;gw;49.989309,18.238637 50.058058,18.362171;50.0236835,18.300404
Wójt Gminy Gorzyce;2;0.00;44.50;0;0;0;0;0;2;241506;2;Gorzyce;6458.0;21100.0;327;319;gw;49.934037,18.291228 50.007753,18.469586;49.970895,18.380407
Burmistrz Miasta Miasteczko Śląskie;5;0.00;45.20;0;1;0;0;0;4;241302;1;Miasteczko Śląskie;6783.0;7419.0;109;1212;gm;50.451229,18.839379 50.537793,19.053668;50.494511,18.9465235
Burmistrz Miasta Tarnowskie Góry;4;0.00;51.25;0;1;1;1;0;1;241304;1;Tarnowskie Góry;8372.0;61262.0;732;72;gm;50.400142,18.769885 50.531013,18.914251;50.4655775,18.842068
Burmistrz Łaz;2;0.00;50.00;0;1;0;0;0;1;241605;3;Łazy;13293.0;15992.0;120;471;gmw;50.359335,19.249778 50.485977,19.519510;50.422656,19.384644
Wójt Gminy Marklowice;2;0.00;54.00;0;0;0;0;0;2;241508;2;Marklowice;1369.0;5447.0;398;1618;gw;49.998467,18.496487 50.038749,18.556696;50.018608,18.5265915
Wójt Gminy Mszana;2;0.00;53.00;0;1;0;0;0;1;241509;2;Mszana;3122.0;7647.0;245;1172;gw;49.946580,18.495846 50.014509,18.611749;49.9805445,18.5537975
Burmistrz Miasta Radzionków;3;0.00;48.33;0;1;0;0;0;2;241303;1;Radzionków;1320.0;16798.0;1273;442;gm;50.371859,18.877878 50.431128,18.923557;50.4014935,18.9007175
Wójt Gminy Chełm Śląski;2;0.00;51.50;0;0;0;0;0;2;241405;2;Chełm Śląski;2333.0;6245.0;268;1435;gw;50.075269,19.152623 50.134327,19.245344;50.104798,19.1989835
Burmistrz Miasta Jędrzejowa;3;33.33;41.33;1;1;0;0;0;1;260202;3;Jędrzejów;22662.0;28324.0;125;199;gmw;50.546253,20.178620 50.736836,20.467260;50.6415445,20.32294
Wójt Gminy Wodzisław;3;0.00;39.67;1;1;0;0;0;1;260209;2;Wodzisław;17689.0;7100.0;40;1263;gw;50.447224,20.070505 50.589164,20.370500;50.518194,20.2205025
Wójt Gminy Sobków;4;25.00;44.00;0;1;0;0;0;3;260208;2;Sobków;14431.0;8533.0;59;1034;gw;50.635295,20.298138 50.788255,20.584499;50.711775,20.4413185
Burmistrz Miasta i Gminy Małogoszcz;4;0.00;41.00;0;1;0;0;1;2;260203;3;Małogoszcz;14605.0;11626.0;80;727;gmw;50.708044,20.118916 50.866216,20.356027;50.78713,20.2374715
Wójt Gminy Oksa;2;50.00;51.00;1;0;0;0;1;0;260205;2;Oksa;9072.0;4605.0;51;1832;gw;50.701217,20.052324 50.814868,20.251382;50.7580425,20.151853
Wójt Gminy Nagłowice;3;33.33;46.33;0;1;0;0;0;2;260204;2;Nagłowice;11729.0;4993.0;43;1733;gw;50.593463,20.024539 50.714756,20.230261;50.6541095,20.1274
Wójt Gminy Słupia (Jędrzejowska);3;0.00;43.00;0;1;0;0;0;2;260207;2;Słupia;10842.0;4360.0;40;1894;gw;50.539339,19.788101 50.640371,20.078813;50.589855,19.933457
Wójt Gminy Gnojno;2;50.00;54.50;1;0;0;0;0;1;260102;2;Gnojno;9631.0;4403.0;46;1883;gw;50.528791,20.774537 50.638319,20.950645;50.583555,20.862591
Burmistrz Sędziszowa;3;33.33;53.33;0;1;0;0;1;1;260206;3;Sędziszów;14565.0;12599.0;87;654;gmw;50.500165,19.901469 50.614356,20.210625;50.5572605,20.056047
Wójt Gminy Imielno;1;0.00;51.00;0;1;0;0;0;0;260201;2;Imielno;10101.0;4420.0;44;1880;gw;50.527866,20.328529 50.649675,20.514210;50.5887705,20.4213695
Wójt Gminy Tuczępy;3;0.00;49.33;0;0;0;0;0;3;260107;2;Tuczępy;8362.0;3751.0;45;2049;gw;50.476540,20.895311 50.566333,21.115698;50.5214365,21.0055045
Burmistrz Miasta i Gminy Skalbmierz;2;0.00;60.00;1;1;0;0;0;0;260305;3;Skalbmierz;8594.0;6529.0;76;1375;gmw;50.261208,20.291963 50.359311,20.485870;50.3102595,20.3889165
Wójt Gminy Bejsce;2;0.00;54.50;1;0;0;0;0;1;260301;2;Bejsce;5748.0;4108.0;71;1952;gw;50.186312,20.532770 50.274100,20.665803;50.230206,20.5992865
Wójt Gminy Solec-Zdrój;2;0.00;55.50;1;0;0;0;0;1;260105;2;Solec-Zdrój;8504.0;5059.0;59;1713;gw;50.329129,20.805486 50.432466,20.974051;50.3807975,20.8897685
Burmistrz Miasta i Gminy Wiślica;2;0.00;50.50;1;0;0;0;0;1;260108;3;Wiślica;10032.0;5552.0;55;1590;gmw;50.307226,20.604319 50.435571,20.762916;50.3713985,20.6836175
Burmistrz Gminy i Miasta Chęciny;4;0.00;41.50;0;1;0;0;0;3;260403;3;Chęciny;12739.0;15053.0;118;510;gmw;50.706294,20.305251 50.851198,20.561285;50.778746,20.433268
Burmistrz Miasta i Gminy Łagów;2;50.00;46.00;0;0;0;0;0;2;260407;3;Łagów;11323.0;6908.0;61;1298;gmw;50.698360,20.961234 50.841716,21.169722;50.770038,21.065478
Wójt Gminy Bieliny;1;0.00;48.00;0;0;0;0;0;1;260401;2;Bieliny;8822.0;10268.0;116;839;gw;50.777381,20.874789 50.886290,21.032391;50.8318355,20.95359
Burmistrz Miasta i Gminy Busko-Zdrój;3;33.33;53.67;0;0;0;0;0;3;260101;3;Busko-Zdrój;23550.0;32438.0;138;167;gmw;50.364030,20.605328 50.566991,20.917500;50.4655105,20.761414
Wójt Gminy Opatowiec;2;0.00;45.50;1;0;0;0;0;1;260304;2;Opatowiec;6858.0;3288.0;48;2141;gw;50.201449,20.593739 50.321459,20.774728;50.261454,20.6842335
Wójt Gminy Pacanów;3;33.33;49.00;1;1;0;0;0;1;260104;2;Pacanów;12458.0;7420.0;60;1211;gw;50.312904,20.934471 50.435259,21.148358;50.3740815,21.0414145
Wójt Gminy Nowy Korczyn;3;0.00;45.00;1;1;0;0;0;1;260103;2;Nowy Korczyn;11667.0;6036.0;52;1482;gw;50.273314,20.688116 50.390561,20.977158;50.3319375,20.832637
Burmistrz Miasta i Gminy w Kazimierzy Wielkiej;4;25.00;54.50;1;1;0;0;0;2;260303;3;Kazimierza Wielka;13986.0;16290.0;116;459;gmw;50.185454,20.352978 50.316714,20.602420;50.251084,20.477699
Wójt Gminy w Czarnocinie;1;100.00;60.00;1;0;0;0;0;0;260302;2;Czarnocin;7032.0;3834.0;55;2027;gw;50.277160,20.431174 50.390746,20.639408;50.333953,20.535291
Burmistrz Miasta i Gminy Bodzentyn;2;0.00;48.50;0;1;0;0;0;1;260402;3;Bodzentyn;15975.0;11632.0;73;725;gmw;50.873741,20.816703 51.031814,21.019868;50.9527775,20.9182855
Burmistrz Miasta i Gminy Chmielnik;3;0.00;50.33;0;1;0;0;0;2;260404;3;Chmielnik;14219.0;11362.0;80;754;gmw;50.536484,20.603577 50.687193,20.829237;50.6118385,20.716407
Burmistrz Miasta i Gminy Daleszyce;2;50.00;46.50;0;1;0;0;0;1;260405;3;Daleszyce;22239.0;15775.0;71;484;gmw;50.705591,20.655117 50.852441,20.980093;50.779016,20.817605
Wójt Gminy Pierzchnica;2;0.00;49.00;0;1;0;0;0;1;260415;2;Pierzchnica;10470.0;4788.0;46;1785;gw;50.631734,20.679290 50.741061,20.889783;50.6863975,20.7845365
Wójt Gminy Mniów;3;0.00;43.00;1;1;0;0;0;1;260411;2;Mniów;9528.0;9364.0;98;923;gw;50.958275,20.341050 51.066639,20.583256;51.012457,20.462153
Wójt Gminy Górno;4;50.00;45.75;0;1;0;0;0;3;260406;2;Górno;8316.0;14292.0;172;551;gw;50.814196,20.702914 50.907702,20.904859;50.860949,20.8038865
Burmistrz Miasta i Gminy Końskie;5;20.00;52.20;1;0;0;1;0;3;260503;3;Końskie;25014.0;35665.0;143;150;gmw;51.081604,20.232123 51.258811,20.565992;51.1702075,20.3990575
Wójt Gminy Gowarczów;6;50.00;49.67;1;1;0;0;0;4;260502;2;Gowarczów;10096.0;4664.0;46;1814;gw;51.217778,20.363931 51.342426,20.539167;51.280102,20.451549
Wójt Gminy Łopuszno;2;50.00;40.50;1;1;0;0;0;0;260408;2;Łopuszno;17700.0;9062.0;51;966;gw;50.854448,20.092466 51.010415,20.364572;50.9324315,20.228519
Burmistrz Miasta i Gminy Opatów;5;20.00;41.20;1;1;0;0;0;3;260604;3;Opatów;11352.0;11869.0;105;707;gmw;50.734969,21.310901 50.849263,21.519253;50.792116,21.415077
Wójt Gminy Miedziana Góra;5;20.00;51.80;0;1;0;0;0;4;260410;2;Miedziana Góra;7114.0;11381.0;160;751;gw;50.882917,20.487039 51.019068,20.629766;50.9509925,20.5584025
Wójt Gminy Lipnik;2;50.00;56.00;0;1;0;0;0;1;260603;2;Lipnik;8145.0;5322.0;65;1650;gw;50.679769,21.382455 50.789798,21.588124;50.7347835,21.4852895
Wójt Gminy Nowa Słupia;2;0.00;49.50;0;0;0;0;0;2;260413;2;Nowa Słupia;8576.0;9516.0;111;911;gw;50.812607,20.971547 50.915469,21.174038;50.864038,21.0727925
Wójt Gminy Smyków;3;33.33;48.00;0;1;0;0;0;2;260507;2;Smyków;6209.0;3787.0;61;2040;gw;51.020259,20.339640 51.117536,20.477918;51.0688975,20.408779
Wójt Gminy Słupia Koneckiej;2;0.00;52.50;0;0;0;0;0;2;260506;2;Słupia Konecka;10580.0;3380.0;32;2124;gw;50.960472,20.032557 51.077800,20.223720;51.019136,20.1281385
